age;p10Be
10999;1.0211
11000;1.019
11001;1.0168
11002;1.0146
11003;1.0124
11004;1.0104
11005;1.0086
11006;1.0069
11007;1.0056
11008;1.0046
11009;1.0041
11010;1.004
11011;1.0044
11012;1.0054
11013;1.007
11014;1.0092
11015;1.0121
11016;1.0157
11017;1.0199
11018;1.0249
11019;1.0306
11020;1.037
11021;1.044
11022;1.0517
11023;1.06
11024;1.0689
11025;1.0783
11026;1.0882
11027;1.0985
11028;1.1092
11029;1.1201
11030;1.1314
11031;1.1427
11032;1.1542
11033;1.1658
11034;1.1773
11035;1.1888
11036;1.2
11037;1.2111
11038;1.2219
11039;1.2324
11040;1.2426
11041;1.2523
11042;1.2616
11043;1.2705
11044;1.2788
11045;1.2866
11046;1.2939
11047;1.3006
11048;1.3069
11049;1.3126
11050;1.3178
11051;1.3226
11052;1.3269
11053;1.3309
11054;1.3345
11055;1.3378
11056;1.3408
11057;1.3436
11058;1.3462
11059;1.3486
11060;1.3509
11061;1.3531
11062;1.3553
11063;1.3573
11064;1.3592
11065;1.3611
11066;1.3628
11067;1.3645
11068;1.366
11069;1.3675
11070;1.3688
11071;1.3699
11072;1.3709
11073;1.3718
11074;1.3725
11075;1.3731
11076;1.3734
11077;1.3737
11078;1.3738
11079;1.3737
11080;1.3735
11081;1.3731
11082;1.3726
11083;1.372
11084;1.3713
11085;1.3706
11086;1.3698
11087;1.369
11088;1.3683
11089;1.3677
11090;1.3672
11091;1.3669
11092;1.3669
11093;1.3672
11094;1.3678
11095;1.3688
11096;1.3702
11097;1.372
11098;1.3742
11099;1.3768
11100;1.3798
11101;1.3831
11102;1.3867
11103;1.3905
11104;1.3945
11105;1.3987
11106;1.4029
11107;1.4071
11108;1.4112
11109;1.4153
11110;1.4192
11111;1.4228
11112;1.4263
11113;1.4295
11114;1.4324
11115;1.435
11116;1.4374
11117;1.4394
11118;1.4412
11119;1.4427
11120;1.444
11121;1.4452
11122;1.4461
11123;1.4471
11124;1.448
11125;1.4489
11126;1.45
11127;1.4514
11128;1.453
11129;1.455
11130;1.4574
